frame,landmark,x,y,z,visibility,relative_x,relative_y,relative_z
0,0,0.42962920665740967,0.23496142029762268,-0.35058972239494324,0.9999631643295288,-0.02088826894760132,-0.12104332447052002,-0.3199829887598753
0,1,0.4361743927001953,0.22909888625144958,-0.3339245915412903,0.9998817443847656,-0.014343082904815674,-0.12690585851669312,-0.30331785790622234
0,2,0.4399421811103821,0.22931452095508575,-0.3340047299861908,0.9999107122421265,-0.010575294494628906,-0.12669022381305695,-0.30339799635112286
0,3,0.4433121681213379,0.2296493500471115,-0.3341091275215149,0.999902606010437,-0.007205307483673096,-0.1263553947210312,-0.30350239388644695
0,4,0.42209893465042114,0.22875046730041504,-0.3286403715610504,0.9998219609260559,-0.028418540954589844,-0.12725427746772766,-0.2980336379259825
0,5,0.41742637753486633,0.22883287072181702,-0.3286099433898926,0.9998264908790588,-0.03309109807014465,-0.12717187404632568,-0.29800320975482464
0,6,0.4130362272262573,0.22905974090099335,-0.3285059928894043,0.9997618794441223,-0.03748124837875366,-0.12694500386714935,-0.29789925925433636
0,7,0.4480818808078766,0.232558012008667,-0.22235171496868134,0.999933123588562,-0.0024355947971343994,-0.12344673275947571,-0.1917449813336134
0,8,0.40755170583724976,0.23300118744373322,-0.19594818353652954,0.9997085928916931,-0.04296576976776123,-0.12300355732440948,-0.1653414499014616
0,9,0.4378014802932739,0.2425651252269745,-0.3089526891708374,0.9999685287475586,-0.01271599531173706,-0.11343961954116821,-0.27834595553576946
0,10,0.42135000228881836,0.24241451919078827,-0.3013421893119812,0.999907374382019,-0.029167473316192627,-0.11359022557735443,-0.27073545567691326
0,11,0.47522056102752686,0.2696473002433777,-0.16029183566570282,0.9999921321868896,0.02470308542251587,-0.08635744452476501,-0.12968510203063488
0,12,0.3855655789375305,0.26757708191871643,-0.08367940783500671,0.9994712471961975,-0.06495189666748047,-0.08842766284942627,-0.053072674199938774
0,13,0.5433595776557922,0.2873011529445648,-0.1354885846376419,0.9981566071510315,0.09284210205078125,-0.06870359182357788,-0.10488185100257397
0,14,0.36540254950523376,0.2951330244541168,0.01736350916326046,0.7420791387557983,-0.08511492609977722,-0.06087172031402588,0.0479702427983284
0,15,0.6054593920707703,0.3050498366355896,-0.23621146380901337,0.9930669069290161,0.15494191646575928,-0.0509549081325531,-0.20560473017394543
0,16,0.3526310324668884,0.3087025582790375,-0.026855232194066048,0.8349180817604065,-0.09788644313812256,-0.047302186489105225,0.003751501441001892
0,17,0.6267895698547363,0.31188300251960754,-0.2622910737991333,0.9767472147941589,0.17627209424972534,-0.044121742248535156,-0.23168434016406536
0,18,0.3503139317035675,0.3168058693408966,-0.03961293399333954,0.785145103931427,-0.10020354390144348,-0.039198875427246094,-0.009006200358271599
0,19,0.6265566349029541,0.31263792514801025,-0.29781195521354675,0.9803918600082397,0.17603915929794312,-0.043366819620132446,-0.2672052215784788
0,20,0.34831300377845764,0.31147125363349915,-0.06870761513710022,0.801222026348114,-0.10220447182655334,-0.044533491134643555,-0.03810088150203228
0,21,0.6183828115463257,0.3114400804042816,-0.25358521938323975,0.977307915687561,0.1678653359413147,-0.044564664363861084,-0.2229784857481718
0,22,0.35502880811691284,0.3112032413482666,-0.04087414965033531,0.7958608865737915,-0.09548866748809814,-0.0448015034198761,-0.010267416015267372
0,23,0.450517475605011,0.3560047447681427,-0.03060673363506794,0.999855637550354,0.0,0.0,0.0
0,24,0.39686551690101624,0.35444092750549316,0.03060978837311268,0.999699592590332,-0.05365195870399475,-0.0015638172626495361,0.06121652200818062
0,25,0.45494911074638367,0.41169577836990356,0.10028137266635895,0.9950006604194641,0.004431635141372681,0.055691033601760864,0.1308881063014269
0,26,0.4038325846195221,0.41137439012527466,0.15676020085811615,0.9920361638069153,-0.04668489098548889,0.05536964535713196,0.1873669344931841
